timestamp_ms,voltage_V,current_mA,power_mW,marker
5,3.344,25.80,87.00,0
55,3.340,25.90,87.00,0
105,3.344,25.90,87.00,0
155,3.344,25.80,87.00,0
205,3.344,25.80,87.00,0
255,3.348,25.80,87.00,0
305,3.344,25.80,87.00,0
355,3.344,25.90,87.00,0
405,3.344,25.80,87.00,0
455,3.344,26.00,87.00,0
505,3.344,25.90,87.00,0
555,3.344,25.90,87.00,0
605,3.344,25.90,87.00,0
655,3.344,26.00,87.00,0
705,3.344,25.90,87.00,0
756,3.344,26.00,87.00,0
806,3.344,25.90,87.00,0
856,3.344,25.80,87.00,0
906,3.344,25.80,87.00,0
956,3.344,25.80,87.00,0
1006,3.344,25.80,87.00,0
1056,3.344,25.80,87.00,0
1106,3.344,25.80,87.00,0
1156,3.340,25.80,87.00,0
1206,3.344,25.80,87.00,0
1256,3.344,25.80,87.00,0
1306,3.344,25.90,87.00,0
1356,3.344,25.90,87.00,0
1406,3.344,25.90,87.00,0
1456,3.344,26.00,87.00,0
1506,3.344,25.90,87.00,0
1556,3.336,25.90,87.00,0
1606,3.340,25.90,87.00,0
1656,3.344,25.80,87.00,0
1706,3.344,25.90,87.00,0
1756,3.344,25.80,87.00,0
1806,3.344,25.80,87.00,0
1856,3.344,25.80,87.00,0
1906,3.344,25.80,87.00,0
1956,3.344,25.80,87.00,0
2006,3.344,25.90,85.00,0
2056,3.344,25.80,87.00,0
2106,3.344,25.80,87.00,0
2156,3.344,25.90,87.00,0
2206,3.348,25.90,87.00,0
2256,3.344,25.90,87.00,0
2306,3.344,26.00,87.00,0
2356,3.344,25.90,87.00,0
2406,3.344,25.90,87.00,0
2456,3.344,25.90,87.00,0
2506,3.344,25.90,87.00,0
2556,3.344,25.90,87.00,0
2606,3.344,25.70,85.00,0
2656,3.348,25.90,87.00,0
2706,3.344,25.80,87.00,0
2757,3.344,25.80,87.00,0
2807,3.344,25.80,87.00,0
2857,3.344,25.80,87.00,0
2907,3.344,25.80,87.00,0
2957,3.344,25.80,87.00,0
3007,3.344,25.90,87.00,0
3057,3.344,25.90,87.00,0
3107,3.344,25.80,87.00,0
3157,3.344,25.90,87.00,0
3207,3.344,25.90,87.00,0
3257,3.348,25.90,87.00,0
3307,3.344,25.90,87.00,0
3357,3.344,26.00,87.00,0
3407,3.344,25.80,87.00,0
3457,3.344,25.80,87.00,0
3507,3.344,25.80,87.00,0
3557,3.344,25.80,87.00,0
3607,3.248,203.50,660.00,0
3657,3.252,203.50,662.00,0
3707,3.252,204.10,665.00,0
3757,3.224,130.90,1029.00,0
3807,3.216,298.20,960.00,0
3857,3.220,300.40,962.00,0
3907,3.188,399.90,1273.00,0
3957,3.188,378.50,1208.00,0
4007,3.184,400.00,1027.00,0
4057,3.184,400.00,1271.00,0
4107,3.296,95.30,315.00,0
4157,3.276,124.00,406.00,0
4207,3.320,58.70,195.00,0
4257,3.320,58.60,195.00,0
4307,3.320,58.40,193.00,0
4357,3.320,58.30,193.00,0
4407,3.296,87.50,288.00,0
4457,3.300,87.10,287.00,0
4507,3.300,86.80,357.00,0
4557,3.300,86.70,287.00,0
4607,3.296,87.80,290.00,0
4657,3.296,84.30,285.00,0
4707,3.296,86.70,287.00,0
4758,3.304,87.20,288.00,0
4808,3.300,82.20,272.00,0
4858,3.304,78.30,259.00,0
4908,3.296,88.20,290.00,0
4958,3.288,81.80,269.00,0
5008,3.300,86.80,287.00,0
5058,3.300,97.30,321.00,0
5108,3.296,87.10,287.00,0
5158,3.304,85.20,280.00,0
5208,3.292,86.90,287.00,0
5258,3.300,86.70,287.00,0
5310,3.296,87.10,287.00,0
5360,3.296,84.20,287.00,0
5410,3.296,86.40,287.00,0
5460,3.300,83.80,275.00,0
5510,3.296,86.90,287.00,0
5560,3.296,86.80,287.00,0
5610,3.300,86.60,285.00,0
5660,3.300,86.70,285.00,0
5711,3.296,86.60,285.00,0
5761,3.300,86.80,287.00,0
5811,3.292,95.20,315.00,0
5861,3.300,86.70,285.00,0
5911,3.296,96.60,319.00,0
5961,3.296,86.50,285.00,0
6011,3.296,86.40,285.00,0
6061,3.296,87.90,287.00,0
6111,3.296,86.90,287.00,0
6161,3.296,86.70,396.00,0
6211,3.296,86.60,287.00,0
6261,3.300,86.40,285.00,0
6311,3.296,86.90,280.00,0
6361,3.296,87.00,254.00,0
6411,3.296,86.70,285.00,0
6461,3.284,94.80,313.00,0
6511,3.300,79.30,269.00,0
6561,3.296,86.60,285.00,0
6611,3.304,80.20,265.00,0
6661,3.300,87.10,287.00,0
6711,3.300,86.70,287.00,0
6761,3.280,86.70,285.00,0
6811,3.300,86.90,287.00,0
6861,3.300,119.10,285.00,0
6911,3.300,86.40,283.00,0
6961,3.300,80.00,264.00,0
7011,3.296,86.60,287.00,0
7061,3.296,89.30,285.00,0
7111,3.300,86.70,287.00,0
7161,3.296,87.10,287.00,0
7211,3.296,86.60,285.00,0
7261,3.300,86.60,285.00,0
7311,3.300,86.80,287.00,0
7361,3.296,86.80,287.00,0
7411,3.296,119.40,393.00,0
7461,3.300,87.60,288.00,0
7511,3.296,78.20,259.00,0
7561,3.296,79.60,262.00,0
7611,3.296,86.70,285.00,0
7661,3.284,86.70,285.00,0
7711,3.300,86.60,285.00,0
7761,3.300,80.30,264.00,0
7811,3.296,86.60,285.00,0
7861,3.292,89.30,285.00,0
7911,3.296,86.60,285.00,0
7961,3.296,108.90,287.00,0
8011,3.284,79.70,365.00,0
8061,3.296,87.40,282.00,0
8111,3.300,83.60,400.00,0
8161,3.296,87.70,288.00,0
8211,3.296,86.90,287.00,0
8262,3.300,87.10,287.00,0
8312,3.296,84.70,280.00,0
8362,3.296,124.10,410.00,0
8412,3.296,87.00,287.00,0
8462,3.300,86.30,285.00,0
8512,3.296,86.60,285.00,0
8562,3.296,113.90,375.00,0
8612,3.300,86.90,288.00,0
8662,3.300,86.60,285.00,0
8712,3.296,86.30,285.00,0
8762,3.296,87.40,288.00,0
8812,3.296,87.50,285.00,0
8862,3.296,86.90,287.00,0
8912,3.300,86.70,287.00,0
8962,3.296,87.00,287.00,0
9012,3.300,88.90,293.00,0
9062,3.300,86.00,283.00,0
9112,3.296,86.90,287.00,0
9162,3.300,86.70,287.00,0
9212,3.300,86.80,285.00,0
9262,3.296,87.20,288.00,0
9312,3.296,87.40,288.00,0
9362,3.292,78.00,257.00,0
9412,3.320,58.30,193.00,0
9462,3.320,58.20,193.00,0
9512,3.320,58.10,193.00,0
9562,3.320,58.10,193.00,0
9612,3.320,58.20,193.00,0
9662,3.320,58.20,193.00,0
9712,3.320,58.20,193.00,0
9762,3.316,58.20,193.00,0
9812,3.320,58.30,193.00,0
9862,3.320,58.20,193.00,0
9912,3.316,58.20,193.00,0
9962,3.308,58.40,193.00,1
10012,3.320,58.40,193.00,1
10062,3.320,58.40,193.00,1
10112,3.316,58.40,193.00,1
10162,3.316,58.20,193.00,1
10212,3.320,58.20,193.00,1
10262,3.320,58.30,193.00,1
10312,3.320,58.20,193.00,1
10362,3.316,58.20,193.00,1
10412,3.320,58.30,193.00,1
10462,3.320,58.20,193.00,1
10512,3.320,58.20,193.00,1
10562,3.320,58.20,193.00,1
10612,3.320,58.20,193.00,1
10662,3.320,58.20,193.00,1
10712,3.320,58.30,193.00,1
10764,3.316,58.30,193.00,1
10814,3.320,58.30,193.00,1
10864,3.320,58.30,193.00,1
10914,3.320,58.30,193.00,1
10964,3.316,58.20,193.00,1
11014,3.320,58.20,193.00,1
11064,3.320,58.20,193.00,1
11114,3.320,58.20,193.00,1
11164,3.320,58.20,193.00,1
11214,3.320,58.20,193.00,1
11264,3.320,58.30,193.00,1
11314,3.320,58.10,193.00,1
11364,3.320,58.20,193.00,1
11414,3.316,58.20,193.00,1
11464,3.320,58.30,193.00,1
11514,3.320,58.30,193.00,1
11564,3.316,58.30,193.00,1
11614,3.320,58.30,193.00,1
11664,3.320,58.30,193.00,1
11714,3.320,58.30,193.00,1
11764,3.316,58.30,193.00,1
11814,3.320,58.20,193.00,1
11864,3.320,58.20,193.00,1
11914,3.320,58.20,193.00,1
11964,3.316,58.20,193.00,1
12014,3.320,58.20,193.00,1
12064,3.312,67.50,193.00,1
12114,3.320,58.20,193.00,1
12165,3.316,58.30,193.00,1
12215,3.316,58.30,193.00,1
12265,3.320,58.20,193.00,1
12315,3.320,58.30,193.00,1
12365,3.316,58.20,193.00,1
12415,3.316,58.30,193.00,1
12465,3.320,58.30,193.00,1
12515,3.320,58.20,193.00,1
12565,3.316,58.20,193.00,1
12615,3.316,58.30,193.00,1
12665,3.320,58.10,193.00,1
12715,3.320,58.10,193.00,1
