timestamp_ms,voltage_V,current_mA,power_mW,marker
30,3.344,25.90,87.00,0
80,3.344,25.90,87.00,0
130,3.344,26.00,87.00,0
180,3.344,25.80,87.00,0
231,3.344,25.80,87.00,0
281,3.344,25.70,85.00,0
331,3.344,25.80,87.00,0
381,3.344,25.70,85.00,0
431,3.344,25.80,87.00,0
481,3.344,25.80,87.00,0
531,3.344,25.70,85.00,0
581,3.344,25.80,85.00,0
631,3.344,25.80,87.00,0
681,3.344,25.70,87.00,0
731,3.344,25.90,87.00,0
781,3.344,25.80,87.00,0
831,3.344,25.90,87.00,0
881,3.344,25.90,87.00,0
931,3.344,25.90,87.00,0
981,3.344,25.90,87.00,0
1031,3.344,25.80,87.00,0
1081,3.344,25.90,87.00,0
1131,3.344,25.80,87.00,0
1181,3.348,25.80,87.00,0
1231,3.344,25.80,87.00,0
1281,3.344,25.70,85.00,0
1331,3.348,25.80,87.00,0
1381,3.344,25.70,85.00,0
1431,3.344,25.70,85.00,0
1481,3.348,25.80,87.00,0
1531,3.344,25.80,85.00,0
1581,3.344,25.70,85.00,0
1631,3.344,25.80,85.00,0
1681,3.344,25.80,87.00,0
1731,3.344,25.80,87.00,0
1781,3.344,25.80,87.00,0
1831,3.344,25.80,87.00,0
1881,3.344,25.80,87.00,0
1931,3.344,25.90,87.00,0
1981,3.344,25.80,87.00,0
2031,3.344,25.90,87.00,0
2081,3.344,25.80,87.00,0
2131,3.344,25.80,87.00,0
2181,3.344,25.80,87.00,0
2232,3.344,25.80,87.00,0
2282,3.344,25.80,87.00,0
2332,3.344,25.80,87.00,0
2382,3.344,25.70,85.00,0
2432,3.344,25.80,87.00,0
2482,3.344,25.70,87.00,0
2532,3.344,25.80,87.00,0
2582,3.344,25.80,87.00,0
2632,3.344,25.70,87.00,0
2682,3.344,25.90,87.00,0
2732,3.344,25.90,87.00,0
2782,3.344,25.90,87.00,0
2832,3.344,25.90,87.00,0
2882,3.348,25.80,87.00,0
2932,3.344,25.90,87.00,0
2982,3.344,25.90,87.00,0
3032,3.344,25.90,87.00,0
3082,3.344,25.90,87.00,0
3132,3.344,25.80,87.00,0
3182,3.344,25.70,85.00,0
