timestamp_ms,voltage_V,current_mA,power_mW,marker
2,3.344,25.60,85.00,0
12,3.340,25.80,87.00,0
22,3.340,25.70,85.00,0
32,3.344,25.80,87.00,0
42,3.344,25.70,85.00,0
52,3.344,25.60,85.00,0
62,3.340,25.80,87.00,0
72,3.344,25.70,85.00,0
82,3.344,25.80,87.00,0
92,3.344,25.80,87.00,0
102,3.348,25.70,85.00,0
112,3.344,25.80,87.00,0
122,3.344,25.70,85.00,0
132,3.348,25.70,85.00,0
142,3.344,25.80,87.00,0
152,3.344,25.70,85.00,0
162,3.344,25.80,87.00,0
172,3.344,25.70,85.00,0
182,3.344,25.70,85.00,0
192,3.340,25.80,87.00,0
202,3.344,25.70,85.00,0
212,3.344,25.80,87.00,0
226,3.340,25.80,87.00,0
236,3.344,25.70,85.00,0
246,3.344,25.80,87.00,0
256,3.344,25.80,87.00,0
266,3.340,25.60,85.00,0
276,3.344,25.80,87.00,0
286,3.340,25.70,85.00,0
296,3.344,25.70,85.00,0
306,3.344,25.80,87.00,0
316,3.344,25.70,85.00,0
326,3.344,25.80,87.00,0
336,3.344,25.70,87.00,0
346,3.344,25.70,85.00,0
356,3.344,25.80,87.00,0
366,3.344,25.70,85.00,0
376,3.344,25.80,87.00,0
386,3.344,25.70,87.00,0
397,3.344,25.70,85.00,0
407,3.344,25.70,85.00,0
417,3.344,25.60,85.00,0
430,3.336,25.70,85.00,0
440,3.344,25.80,87.00,0
450,3.344,25.70,85.00,0
460,3.340,25.70,85.00,0
470,3.344,25.70,85.00,0
480,3.344,25.70,85.00,0
490,3.344,25.80,87.00,0
500,3.344,25.70,87.00,0
510,3.344,25.60,85.00,0
520,3.344,25.80,87.00,0
530,3.344,25.60,85.00,0
540,3.348,25.80,87.00,0
550,3.344,25.60,85.00,0
560,3.344,25.60,85.00,0
570,3.344,25.80,87.00,0
580,3.344,25.70,85.00,0
590,3.344,25.80,87.00,0
600,3.344,25.80,87.00,0
610,3.344,25.70,85.00,0
620,3.344,25.70,85.00,0
630,3.344,25.70,85.00,0
640,3.340,25.80,87.00,0
650,3.344,25.80,87.00,0
661,3.340,25.60,85.00,0
671,3.344,25.80,87.00,0
681,3.344,25.70,87.00,0
691,3.344,25.70,85.00,0
701,3.344,25.80,87.00,0
